hsa	Homo sapiens (human)
mgz	Mycoplasma gallisepticum S6
mmy	Mycoplasma mycoides subsp. mycoides SC PG1
mmym	Mycoplasma mycoides subsp. mycoides SC Gladysdale
mmyi	Mycoplasma mycoides subsp. mycoides izsam_mm5713
mml	Mycoplasma mycoides subsp. capri LC 95010
mcp	Mycoplasma capricolum subsp. capricolum ATCC 27343
mcac	Mycoplasma capricolum subsp. capripneumoniae 9231-Abomsa
mcap	Mycoplasma capricolum subsp. capripneumoniae F38
mcar	Mycoplasma capricolum subsp. capripneumoniae ILRI181
mcai	Mycoplasma capricolum subsp. capripneumoniae 87001
mlc	Mycoplasma leachii PG50
mlh	Mycoplasma leachii 99/014/6
mmo	Mycoplasma mobile
mhy	Mycoplasma hyopneumoniae 232
mhj	Mycoplasma hyopneumoniae J
mhp	Mycoplasma hyopneumoniae 7448
mhn	Mycoplasma hyopneumoniae 168
mhyl	Mycoplasma hyopneumoniae 168-L
mhyo	Mycoplasma hyopneumoniae 7422
msy	Mycoplasma synoviae
maa	Mycoplasma agalactiae PG2
mal	Mycoplasma agalactiae 5632
mat	Mycoplasma arthritidis
mco	Mycoplasma conjunctivae
mho	Mycoplasma hominis ATCC 23114
mhom	Mycoplasma hominis ATCC 27545
mcd	Mycoplasma crocodyli
mhr	Mycoplasma hyorhinis HUB-1
mhh	Mycoplasma hyorhinis GDL-1
mhm	Mycoplasma hyorhinis MCLD
mhs	Mycoplasma hyorhinis SK76
mhv	Mycoplasma hyorhinis DBS 1050
mfr	Mycoplasma fermentans JER
mfm	Mycoplasma fermentans M64
mfp	Mycoplasma fermentans PG18
mbv	Mycoplasma bovis PG45
mbh	Mycoplasma bovis Hubei-1
mbi	Mycoplasma bovis HB0801
mbq	Mycoplasma bovis CQ-W70
mha	Mycoplasma haemofelis Langford 1
mhf	Mycoplasma haemofelis Ohio2
mss	Mycoplasma suis Illinois
msk	Mycoplasma suis KI3806
mpf	Mycoplasma putrefaciens KS1
mput	Mycoplasma putrefaciens Mput9231
mhe	Mycoplasma haemocanis
mwe	Mycoplasma wenyonii
mhl	Candidatus Mycoplasma haemolamae
mcy	Mycoplasma cynos
mhb	Candidatus Mycoplasma haemominutum
mpv	Mycoplasma parvum
mov	Mycoplasma ovis
mbc	Mycoplasma bovoculi
mcr	Mycoplasma californicum ST-6
mcm	Mycoplasma californicum HAZ160_1
mgj	Candidatus Mycoplasma girerdii
mfq	Mycoplasma flocculare
mcan	Mycoplasma canadense
myt	Mycoplasma yeatsii
mds	Mycoplasma dispar
mgb	Mycoplasma gallinaceum
mcas	Mycoplasma canis
uur	Ureaplasma parvum serovar 3 ATCC 700970
upa	Ureaplasma parvum serovar 3 ATCC 27815
upr	Ureaplasma parvum serovar 3 SV3F4
uue	Ureaplasma urealyticum
hcr	Candidatus Hepatoplasma crinochetorum
poy	Onion yellows phytoplasma OY-M
ayw	Aster yellows witches'-broom phytoplasma AYWB
pml	Candidatus Phytoplasma mali
pal	Candidatus Phytoplasma australiense
nzs	Phytoplasma (CPA) NZSb11
psol	Candidatus Phytoplasma solani
acl	Acholeplasma laidlawii
abra	Acholeplasma brassicae
apal	Acholeplasma palmae
aoc	Acholeplasma oculi
mfl	Mesoplasma florum L1
mfw	Mesoplasma florum W37
scr	Spiroplasma chrysopicola
ssyr	Spiroplasma syrphidicola
sdi	Spiroplasma diminutum
stai	Spiroplasma taiwanense
sapi	Spiroplasma apis
smir	Spiroplasma mirum ATCC 29335
smia	Spiroplasma mirum ATCC 29335 SMCA
scq	Spiroplasma culicicola
ssab	Spiroplasma sabaudiense
satr	Spiroplasma atrichopogonis
seri	Spiroplasma eriocheiris
stur	Spiroplasma turonicum
sll	Spiroplasma litorale
skn	Spiroplasma kunkelii
scj	Spiroplasma cantharicola
mbj	Mollicutes bacterium
mtu	Mycobacterium tuberculosis H37Rv
mtv	Mycobacterium tuberculosis H37Rv
mtc	Mycobacterium tuberculosis CDC1551
mra	Mycobacterium tuberculosis H37Ra
mtf	Mycobacterium tuberculosis F11
mtb	Mycobacterium tuberculosis KZN 1435
mtk	Mycobacterium tuberculosis KZN 4207
mtz	Mycobacterium tuberculosis KZN 605
mtg	Mycobacterium tuberculosis RGTB327
mti	Mycobacterium tuberculosis RGTB423
mte	Mycobacterium tuberculosis CCDC5079
mtur	Mycobacterium tuberculosis CCDC5079
mtl	Mycobacterium tuberculosis CCDC5180
mto	Mycobacterium tuberculosis CTRI-2
mtd	Mycobacterium tuberculosis UT205
mtn	Mycobacterium tuberculosis Erdman = ATCC 35801
mtj	Mycobacterium tuberculosis Beijing/NITR203
mtub	Mycobacterium tuberculosis 7199-99
mtuc	Mycobacterium tuberculosis CAS/NITR204
mtue	Mycobacterium tuberculosis EAI5/NITR206
mtx	Mycobacterium tuberculosis EAI5
mtuh	Mycobacterium tuberculosis Haarlem/NITR202
mtul	Mycobacterium tuberculosis Haarlem
mtut	Mycobacterium tuberculosis BT1
mtuu	Mycobacterium tuberculosis BT2
mtq	Mycobacterium tuberculosis HKBS1
mbo	Mycobacterium bovis AF2122/97
mbb	Mycobacterium bovis BCG Pasteur 1173P2
mbt	Mycobacterium bovis BCG Tokyo 172
mbm	Mycobacterium bovis BCG Mexico
mbk	Mycobacterium bovis BCG Korea 1168P
mbx	Mycobacterium bovis BCG ATCC 35743
mbz	Mycobacterium bovis ATCC BAA-935
maf	Mycobacterium africanum
mce	Mycobacterium canettii CIPT 140010059
mcq	Mycobacterium canettii CIPT 140060008
mcv	Mycobacterium canettii CIPT 140070008
mcx	Mycobacterium canettii CIPT 140070010
mcz	Mycobacterium canettii CIPT 140070017
mle	Mycobacterium leprae TN
mlb	Mycobacterium leprae Br4923
mpa	Mycobacterium avium subsp. paratuberculosis K-10
mao	Mycobacterium avium subsp. paratuberculosis MAP4
mavi	Mycobacterium avium subsp. paratuberculosis E1
mavu	Mycobacterium avium subsp. paratuberculosis E93
mav	Mycobacterium avium 104
mavr	Mycobacterium avium 2285 (R)
mavd	Mycobacterium avium subsp. avium DJO-44271
mava	Mycobacterium avium subsp. avium 2285 (S)
mit	Mycobacterium intracellulare MOTT-02
mir	Mycobacterium intracellulare MOTT-64
mia	Mycobacterium intracellulare ATCC 13950
mie	Mycobacterium intracellulare 1956
mid	Mycobacterium indicus pranii
myo	Mycobacterium yongonense
msm	Mycobacterium smegmatis MC2 155
msg	Mycobacterium smegmatis MC2 155
msb	Mycobacterium smegmatis MC2 155
msn	Mycobacterium smegmatis INHR1
msh	Mycobacterium smegmatis INHR2
msa	Mycobacterium sp. JS623
mul	Mycobacterium ulcerans
mva	Mycobacterium vanbaalenii
mgi	Mycobacterium gilvum PYR-GCK
msp	Mycobacterium gilvum Spyr1
mab	Mycobacterium abscessus ATCC 19977
mabb	Mycobacterium abscessus subsp. bolletii 50594
mmv	Mycobacterium abscessus subsp. bolletii GO 06
may	Mycobacterium abscessus subsp. bolletii MA 1948
mabo	Mycobacterium abscessus subsp. bolletii MC1518
mabl	Mycobacterium abscessus subsp. bolletii CCUG 48898 = JCM 15300
maz	Mycobacterium abscessus subsp. bolletii 103
mak	Mycobacterium abscessus subsp. abcessus MM1513
mys	Mycobacterium abscessus DJO-44274
myc	Mycobacterium abscessus 4529
mmc	Mycobacterium sp. MCS
mkm	Mycobacterium sp. KMS
mjl	Mycobacterium sp. JLS
mjd	Mycobacterium sp. JDM601
mmi	Mycobacterium marinum
mrh	Mycobacterium rhodesiae
mmm	Mycobacterium sp. MOTT36Y
mcb	Mycobacterium chubuense
mli	Mycobacterium liflandii
mkn	Mycobacterium kansasii ATCC 12478
mks	Mycobacterium kansasii 662
mki	Mycobacterium kansasii 824
mne	Mycobacterium neoaurum
myv	Mycobacterium sp. VKM Ac-1817D
mye	Mycobacterium sp. EPa45
mgo	Mycobacterium goodii
mft	Mycobacterium fortuitum
mhad	Mycobacterium haemophilum
asd	Amycolicicoccus subflavus
cgl	Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgb	Corynebacterium glutamicum ATCC 13032 (Bielefeld)
cgu	Corynebacterium glutamicum K051
cgt	Corynebacterium glutamicum R
cgs	Corynebacterium glutamicum SCgG1
cgg	Corynebacterium glutamicum SCgG2
cgm	Corynebacterium glutamicum MB001
cgj	Corynebacterium glutamicum ATCC 21831
cgq	Corynebacterium glutamicum AR1
cgx	Corynebacterium glutamicum B253
cef	Corynebacterium efficiens
cdi	Corynebacterium diphtheriae NCTC 13129
cdp	Corynebacterium diphtheriae 241
cdh	Corynebacterium diphtheriae INCA 402
cdt	Corynebacterium diphtheriae HC01
cde	Corynebacterium diphtheriae HC02
cdr	Corynebacterium diphtheriae HC03
cda	Corynebacterium diphtheriae HC04
cdz	Corynebacterium diphtheriae 31A
cdb	Corynebacterium diphtheriae BH8
cds	Corynebacterium diphtheriae C7
cdd	Corynebacterium diphtheriae CDCE 8392
cdw	Corynebacterium diphtheriae PW8
cdv	Corynebacterium diphtheriae VA01
cjk	Corynebacterium jeikeium
cur	Corynebacterium urealyticum DSM 7109
cua	Corynebacterium urealyticum DSM 7111
car	Corynebacterium aurimucosum
ckp	Corynebacterium kroppenstedtii
cpu	Corynebacterium pseudotuberculosis FRC41
cpl	Corynebacterium pseudotuberculosis 3/99-5
cpg	Corynebacterium pseudotuberculosis 316
cpp	Corynebacterium pseudotuberculosis P54B96
cpk	Corynebacterium pseudotuberculosis 1002
cpq	Corynebacterium pseudotuberculosis C231
cpx	Corynebacterium pseudotuberculosis I19
cpz	Corynebacterium pseudotuberculosis PAT10
cor	Corynebacterium pseudotuberculosis 267
cop	Corynebacterium pseudotuberculosis 31
cod	Corynebacterium pseudotuberculosis 1/06-A
cos	Corynebacterium pseudotuberculosis 42/02-A
coi	Corynebacterium pseudotuberculosis CIP 52.97
coe	Corynebacterium pseudotuberculosis 258
cou	Corynebacterium pseudotuberculosis Cp162
cpse	Corynebacterium pseudotuberculosis 48252
cpsu	Corynebacterium pseudotuberculosis CS_10
cpsf	Corynebacterium pseudotuberculosis Ft_2193/67
crd	Corynebacterium resistens
cul	Corynebacterium ulcerans BR-AD22
cuc	Corynebacterium ulcerans 809
cue	Corynebacterium ulcerans 0102
cun	Corynebacterium ulcerans 210932
cus	Corynebacterium ulcerans FRC11
cuq	Corynebacterium ulcerans 210931
cuz	Corynebacterium ulcerans 05146
cuj	Corynebacterium ulcerans 131002
cva	Corynebacterium variabile
chn	Corynebacterium halotolerans
ccn	Corynebacterium callunae
cter	Corynebacterium terpenotabidum
cmd	Corynebacterium maris
caz	Corynebacterium argentoratense
cfn	Corynebacterium falsenii
ccg	Corynebacterium casei
cvt	Corynebacterium vitaeruminis
cgy	Corynebacterium glyciniphilum
cax	Corynebacterium atypicum
cii	Corynebacterium imitans
cuv	Corynebacterium ureicelerivorans
coa	Corynebacterium sp. ATCC 6931
cdo	Corynebacterium doosanense
chm	Corynebacterium humireducens
csx	Corynebacterium singulare
cmq	Corynebacterium marinum
cku	Corynebacterium kutscheri
ccj	Corynebacterium camporealensis
cmv	Corynebacterium mustelae
cei	Corynebacterium epidermidicanis
cted	Corynebacterium testudinoris
cut	Corynebacterium uterequi
clw	Corynebacterium lactis
cdx	Corynebacterium deserti
nfa	Nocardia farcinica
ncy	Nocardia cyriacigeorgica
nbr	Nocardia brasiliensis
nno	Nocardia nova
rha	Rhodococcus jostii
rer	Rhodococcus erythropolis PR4
rey	Rhodococcus erythropolis CCM2595
reb	Rhodococcus erythropolis BG43
rop	Rhodococcus opacus B4
roa	Rhodococcus opacus PD630
req	Rhodococcus equi
rpy	Rhodococcus pyridinivorans
rhb	Rhodococcus sp. B7740
rav	Rhodococcus aetherivorans
gbr	Gordonia bronchialis
gpo	Gordonia polyisoprenivorans
gor	Gordonia sp. KTR9
goq	Gordonia sp. QH-11
tpr	Tsukamurella paurometabola
srt	Segniliparus rotundus
cbq	Corynebacteriales bacterium
sco	Streptomyces coelicolor
sma	Streptomyces avermitilis
sgr	Streptomyces griseus
scb	Streptomyces scabiei
ssx	Streptomyces sp. SirexAA-E
svl	Streptomyces violaceusniger
sct	Streptomyces cattleya NRRL 8057
scy	Streptomyces cattleya NRRL 8057 = DSM 46488
sfa	Streptomyces pratensis
sbh	Streptomyces bingchenggensis
shy	Streptomyces hygroscopicus subsp. jinggangensis 5008
sho	Streptomyces hygroscopicus subsp. jinggangensis TL01
sve	Streptomyces venezuelae
sdv	Streptomyces davawensis
salb	Streptomyces albus J1074
sals	Streptomyces albus DSM 41398
strp	Streptomyces sp. PAMC26508
sfi	Streptomyces fulvissimus
sci	Streptomyces collinus
src	Streptomyces rapamycinicus
salu	Streptomyces albulus NK660
sall	Streptomyces albulus ZPM
slv	Streptomyces lividans
sgu	Streptomyces glaucescens
svt	Streptomyces vietnamensis
stre	Streptomyces sp. 769
scw	Streptomyces cyaneogriseus
sld	Streptomyces lydicus
sxi	Streptomyces xiamenensis
strm	Streptomyces sp. Mg1
strc	Streptomyces sp. CNQ-509
samb	Streptomyces ambofaciens
spri	Streptomyces pristinaespiralis
scz	Streptomyces sp. CFMR 7
ksk	Kitasatospora setae
twh	Tropheryma whipplei Twist
tws	Tropheryma whipplei TW08/27
lxx	Leifsonia xyli subsp. xyli CTCB07
lxy	Leifsonia xyli subsp. cynodontis DSM 46306
cmi	Clavibacter michiganensis subsp. michiganensis
cms	Clavibacter michiganensis subsp. sepedonicus
cmc	Clavibacter michiganensis subsp. nebraskensis
cmh	Clavibacter michiganensis subsp. insidiosus
mts	Microbacterium testaceum
mim	Microbacterium sp. CGR1
mio	Microbacterium sp. No. 7
rla	Candidatus Rhodoluna lacicola
rtx	Rathayibacter toxicus
art	Arthrobacter sp. FB24
aau	Arthrobacter aurescens
ach	Arthrobacter chlorophenolicus
aai	Arthrobacter arilaitensis
apn	Arthrobacter phenanthrenivorans
arr	Arthrobacter sp. Rue61a
arm	Arthrobacter sp. PAMC25486
ari	Arthrobacter sp. IHBB 11108
arl	Arthrobacter sp. LS16
are	Arthrobacter sp. ERGS1:01
aaq	Arthrobacter alpinus
rsa	Renibacterium salmoninarum
krh	Kocuria rhizophila
kpl	Kocuria palustris
mlu	Micrococcus luteus
rmu	Rothia mucilaginosa
rdn	Rothia dentocariosa
bcv	Beutenbergia cavernae
bfa	Brachybacterium faecium
jde	Jonesia denitrificans
kse	Kytococcus sedentarius
dni	Dermacoccus nishinomiyaensis
lmoi	Luteipulveratus mongoliensis
xce	Xylanimonas cellulosilytica
iva	Isoptericola variabilis
ske	Sanguibacter keddieii
cfl	Cellulomonas flavigena
cfi	Cellulomonas fimi
cga	Cellulomonas gilvus
ica	Intrasporangium calvum
ars	Arsenicicoccus sp. oral taxon 190
pac	Propionibacterium acnes KPA171202
pak	Propionibacterium acnes SK137
pav	Propionibacterium acnes TypeIA2 P.acn17
pax	Propionibacterium acnes TypeIA2 P.acn31
paz	Propionibacterium acnes TypeIA2 P.acn33
paw	Propionibacterium acnes 266
pad	Propionibacterium acnes ATCC 11828
pcn	Propionibacterium acnes 6609
pacc	Propionibacterium acnes C1
pach	Propionibacterium acnes HL096PA1
pacn	Propionibacterium acnes hdn-1
pfr	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1
pfre	Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
ppc	Propionibacterium propionicum
pbo	Propionibacterium acidipropionici
pra	Propionibacterium avidum
mph	Microlunatus phosphovorus
nca	Nocardioides sp. JS614
kfl	Kribbella flavida
psim	Pimelobacter simplex
tfu	Thermobifida fusca
nda	Nocardiopsis dassonvillei
nal	Nocardiopsis alba
tcu	Thermomonospora curvata
sro	Streptosporangium roseum
fra	Frankia sp. CcI3
fre	Frankia sp. EAN1pec
fri	Frankia sp. EuI1c
fal	Frankia alni
fsy	Frankia symbiont
ace	Acidothermus cellulolyticus
nml	Nakamurella multipartita
gob	Geodermatophilus obscurus
bsd	Blastococcus saxobsidens
mmar	Modestobacter marinus
kra	Kineococcus radiotolerans
sen	Saccharopolyspora erythraea
svi	Saccharomonospora viridis
amd	Amycolatopsis mediterranei U32
amn	Amycolatopsis mediterranei S699
amm	Amycolatopsis mediterranei S699
amz	Amycolatopsis mediterranei RB
aoi	Amycolatopsis orientalis
aja	Amycolatopsis japonica
amq	Amycolatopsis methanolica
alu	Amycolatopsis lurida
pdx	Pseudonocardia dioxanivorans
psea	Pseudonocardia sp. AL041005-10
psee	Pseudonocardia sp. EC080625-04
pseh	Pseudonocardia sp. HH130629-09
ami	Actinosynnema mirum
sesp	Saccharothrix espanaensis
kal	Kutzneria albida
kphy	Kibdelosporangium phytohabitans
stp	Salinispora tropica
saq	Salinispora arenicola
mau	Micromonospora aurantiaca
mil	Micromonospora sp. L5
vma	Verrucosispora maris
ams	Actinoplanes missouriensis
ase	Actinoplanes sp. SE50/110
actn	Actinoplanes sp. N902-109
afs	Actinoplanes friuliensis
cai	Catenulispora acidiphila
sna	Stackebrandtia nassauensis
ahe	Arcanobacterium haemolyticum
mcu	Mobiluncus curtisii
tpy	Trueperella pyogenes TP6375
tpyo	Trueperella pyogenes TP8
asg	Actinobaculum schaalii
amy	Actinomyces meyeri
acq	Actinomyces sp. oral taxon 414
blo	Bifidobacterium longum NCC2705
blj	Bifidobacterium longum DJO10A
bln	Bifidobacterium longum subsp. infantis ATCC 15697 (JGI)
blon	Bifidobacterium longum subsp. infantis ATCC 15697 (Tokyo)
blf	Bifidobacterium longum subsp. infantis 157F
bll	Bifidobacterium longum subsp. longum JDM301
blb	Bifidobacterium longum subsp. longum BBMN68
blm	Bifidobacterium longum subsp. longum JCM 1217
blk	Bifidobacterium longum subsp. longum KACC 91563
blg	Bifidobacterium longum subsp. longum F8
blz	Bifidobacterium longum subsp. longum GT15
blx	Bifidobacterium longum BXY01
bad	Bifidobacterium adolescentis ATCC 15703
badl	Bifidobacterium adolescentis 22L
bado	Bifidobacterium adolescentis BBMN23
bla	Bifidobacterium animalis subsp. lactis AD011
blc	Bifidobacterium animalis subsp. lactis Bl-04
blt	Bifidobacterium animalis subsp. lactis DSM 10140
bbb	Bifidobacterium animalis subsp. lactis BB-12
bbc	Bifidobacterium animalis subsp. lactis BLC1
bnm	Bifidobacterium animalis subsp. lactis CNCM I-2494
blv	Bifidobacterium animalis subsp. lactis V9
blw	Bifidobacterium animalis subsp. lactis B420
bls	Bifidobacterium animalis subsp. lactis Bi-07
bani	Bifidobacterium animalis subsp. lactis Bl12
banl	Bifidobacterium animalis subsp. lactis ATCC 27673
bni	Bifidobacterium animalis subsp. animalis ATCC 25527
banm	Bifidobacterium animalis RH
bde	Bifidobacterium dentium
bbi	Bifidobacterium bifidum S17
bbp	Bifidobacterium bifidum PRL2010
bbf	Bifidobacterium bifidum BGN4
bbv	Bifidobacterium breve ACS-071-V-Sch8b
bbru	Bifidobacterium breve UCC2003
bbre	Bifidobacterium breve 12L
bbrv	Bifidobacterium breve 689b
bbrj	Bifidobacterium breve JCM 7017
bbrc	Bifidobacterium breve JCM 7019
bbrn	Bifidobacterium breve NCFB 2258
bbrs	Bifidobacterium breve S27
bast	Bifidobacterium asteroides
btp	Bifidobacterium thermophilum
bcor	Bifidobacterium coryneforme
bka	Bifidobacterium kashiwanohense
bpsp	Bifidobacterium pseudolongum
bii	Bifidobacterium indicum
bang	Bifidobacterium angulatum
bcat	Bifidobacterium catenulatum
bpsc	Bifidobacterium pseudocatenulatum
bsca	Bifidobacterium scardovii
bact	Bifidobacterium actinocoloniiforme
gva	Gardnerella vaginalis 409-05
gvg	Gardnerella vaginalis ATCC 14019
gvh	Gardnerella vaginalis HMP9231
sij	Scardovia inopinata
pdo	Parascardovia denticolens
tbi	Thermobispora bispora
rxy	Rubrobacter xylanophilus
rrd	Rubrobacter radiotolerans
cwo	Conexibacter woesei
afo	Acidimicrobium ferrooxidans
aym	Ilumatobacter coccineus
ccu	Cryptobacterium curtum
shi	Slackia heliotrinireducens
ele	Eggerthella lenta
eyy	Eggerthella sp. YY7918
gpa	Gordonibacter pamelaeae
aeq	Adlercreutzia equolifaciens
apv	Atopobium parvulum
ols	Olsenella uli
olo	Olsenella sp. oral taxon 807
cgo	Coriobacterium glomerans
cbac	Coriobacteriaceae bacterium 68-1-3
abai	Actinobacteria bacterium IMCC26256
ctr	Chlamydia trachomatis D/UW-3/CX
ctd	Chlamydia trachomatis D-EC
ctf	Chlamydia trachomatis D-LC
ctrd	Chlamydia trachomatis D/SotonD1
ctro	Chlamydia trachomatis D/SotonD5
ctrt	Chlamydia trachomatis D/SotonD6
cta	Chlamydia trachomatis A/HAR-13
cty	Chlamydia trachomatis A2497
cra	Chlamydia trachomatis A2497
ctrq	Chlamydia trachomatis A/363
ctrx	Chlamydia trachomatis A/5291
ctrz	Chlamydia trachomatis A/7249
ctrp	Chlamydia trachomatis L1/1322/p2
ctlj	Chlamydia trachomatis L1/115
ctlx	Chlamydia trachomatis L1/224
ctll	Chlamydia trachomatis L1/440/LN
ctb	Chlamydia trachomatis L2/434/Bu
ctrr	Chlamydia trachomatis L2/25667R
ctlf	Chlamydia trachomatis L2/434/Bu(f)
ctli	Chlamydia trachomatis L2/434/Bu(i)
ctl	Chlamydia trachomatis L2b/UCH-1/proctitis
ctru	Chlamydia trachomatis L2b/UCH-2
ctrl	Chlamydia trachomatis L2b/LST
ctrv	Chlamydia trachomatis L2b/CV204
ctrm	Chlamydia trachomatis L2b/Ams1
ctla	Chlamydia trachomatis L2b/Ams2
ctlm	Chlamydia trachomatis L2b/Ams3
ctls	Chlamydia trachomatis L2b/Ams4
ctlz	Chlamydia trachomatis L2b/Ams5
ctlc	Chlamydia trachomatis L2b/Canada1
ctln	Chlamydia trachomatis L2b/Canada2
ctlb	Chlamydia trachomatis L2b/795
ctlq	Chlamydia trachomatis L2b/8200/07
cto	Chlamydia trachomatis L2c
ctrn	Chlamydia trachomatis L3/404/LN
ctj	Chlamydia trachomatis B/Jali20/OT
ctz	Chlamydia trachomatis B/TZ1A828/OT
ctg	Chlamydia trachomatis E/11023
ctk	Chlamydia trachomatis E/150
csw	Chlamydia trachomatis Sweden2
ces	Chlamydia trachomatis E/SW3
ctrb	Chlamydia trachomatis E/Bour
ctre	Chlamydia trachomatis E/SotonE4
ctrs	Chlamydia trachomatis E/SotonE8
ctec	Chlamydia trachomatis E/C599
cfs	Chlamydia trachomatis F/SW4
cfw	Chlamydia trachomatis F/SW5
ctfw	Chlamydia trachomatis F/SWFPminus
ctrf	Chlamydia trachomatis F/SotonF3
ctch	Chlamydia trachomatis F/11-96
ctn	Chlamydia trachomatis G/11074
ctq	Chlamydia trachomatis G/11222
ctv	Chlamydia trachomatis G/9301
ctw	Chlamydia trachomatis G/9768
ctrg	Chlamydia trachomatis G/SotonG1
ctri	Chlamydia trachomatis IU824
ctra	Chlamydia trachomatis IU888
ctrh	Chlamydia trachomatis Ia/SotonIa1
ctrj	Chlamydia trachomatis Ia/SotonIa3
ctrk	Chlamydia trachomatis K/SotonK1
ctjt	Chlamydia trachomatis J/6276tet1
ctcf	Chlamydia trachomatis RC-F/69
ctfs	Chlamydia trachomatis RC-F(s)/342
cthf	Chlamydia trachomatis RC-F(s)/852
ctcj	Chlamydia trachomatis RC-J/943
cthj	Chlamydia trachomatis RC-J/953
ctmj	Chlamydia trachomatis RC-J/966
cttj	Chlamydia trachomatis RC-J/971
ctjs	Chlamydia trachomatis RC-J(s)/122
ctrc	Chlamydia trachomatis RC-L2/55
ctrw	Chlamydia trachomatis RC-L2(s)/3
ctry	Chlamydia trachomatis RC-L2(s)/46
ctct	Chlamydia trachomatis C/TW-3
cmu	Chlamydia muridarum Nigg
cmur	Chlamydia muridarum Nigg CM972
cmn	Chlamydia muridarum Nigg 2 MCR
cmm	Chlamydia muridarum Nigg3 clone G0.1.1
cmg	Chlamydia muridarum Nigg3 clone G28.38.1
cmx	Chlamydia muridarum Nigg3
cmz	Chlamydia muridarum Nigg3 CMUT3-5
cpn	Chlamydia pneumoniae CWL029
cpa	Chlamydia pneumoniae AR39
cpj	Chlamydia pneumoniae J138
cpt	Chlamydia pneumoniae TW183
clp	Chlamydophila pneumoniae LPCoLN
cpm	Chlamydia pecorum E58
cpec	Chlamydia pecorum P787
cpeo	Chlamydia pecorum PV3056/3
cper	Chlamydia pecorum W73
chp	Chlamydia psittaci 6BC
chb	Chlamydia psittaci 6BC
chs	Chlamydia psittaci 01DC11
chi	Chlamydia psittaci 02DC15
cht	Chlamydia psittaci 08DC60
chc	Chlamydia psittaci C19/98
chr	Chlamydia psittaci RD1
cpsc	Chlamydia psittaci CP3
cpsn	Chlamydia psittaci NJ1
cpsb	Chlamydia psittaci 84/55
cpsg	Chlamydia psittaci GR9
cpsm	Chlamydia psittaci M56
cpsi	Chlamydia psittaci MN
cpsv	Chlamydia psittaci VS225
cpsw	Chlamydia psittaci WC
cpst	Chlamydia psittaci WS/RT/E30
cpsd	Chlamydia psittaci 01DC12
cpsa	Chlamydia psittaci Mat116
cav	Chlamydia avium
cca	Chlamydophila caviae
cab	Chlamydophila abortus S26/3
cabo	Chlamydophila abortus AB7
cfe	Chlamydophila felis
pcu	Candidatus Protochlamydia amoebophila
puv	Parachlamydia acanthamoebae
wch	Waddlia chondrophila
sng	Simkania negevensis
ote	Opitutus terrae
obt	Opitutaceae bacterium TAV5
caa	Coraliomargarita akajimensis
amu	Akkermansia muciniphila
xii	Candidatus Xiphinematobacter sp. Idaho Grape
min	Methylacidiphilum infernorum
vba	Verrucomicrobia bacterium
bbu	Borrelia burgdorferi B31
bbz	Borrelia burgdorferi ZS7
bbn	Borrelia burgdorferi N40
bbj	Borrelia burgdorferi JD1
bbur	Borrelia burgdorferi CA382
bga	Borreliella bavariensis PBi
bgb	Borrelia garinii BgVir
bgn	Borrelia garinii NMJW1
bgs	Borrelia garinii SZ
baf	Borrelia afzelii (FLI)
bafz	Borrelia afzelii (Maryland)
bafh	Borrelia afzelii HLJ01
baft	Borrelia afzelii Tom3107
bafe	Borrelia afzelii K78
bbs	Borreliella bissettii
bvt	Borreliella valaisiana
bchi	Borreliella chilensis
btu	Borrelia turicatae
bhr	Borrelia hermsii HS1
bhi	Borrelia hermsii CC1
bdu	Borrelia duttonii
bre	Borrelia recurrentis
bcw	Borrelia crocidurae
bmo	Borrelia miyamotoi LB-2001
bmiy	Borrelia miyamotoi CT14D4
bpak	Borrelia parkeri
tpa	Treponema pallidum subsp. pallidum Nichols
tpw	Treponema pallidum subsp. pallidum Nichols
tpp	Treponema pallidum subsp. pallidum SS14
tpu	Treponema pallidum subsp. pallidum DAL-1
tph	Treponema pallidum subsp. pallidum Chicago
tpo	Treponema pallidum subsp. pallidum Mexico A
tpas	Treponema pallidum subsp. pallidum Sea 81-4
tpc	Treponema pallidum subsp. pertenue CDC2
tpg	Treponema pallidum subsp. pertenue Gauthier
tpm	Treponema pallidum subsp. pertenue SamoaD
tpb	Treponema pallidum Fribourg-Blanc
tde	Treponema denticola
tsu	Treponema succinifaciens
tbe	Treponema brennaborense
taz	Treponema azotonutricium
tpi	Treponema primitia
tpl	Treponema paraluiscuniculi
tped	Treponema pedis
scd	Treponema caldaria
tpk	Treponema putidum
trm	Treponema sp. OMZ 838
ssm	Spirochaeta smaragdinae
sta	Spirochaeta thermophila DSM 6192
stq	Spirochaeta thermophila DSM 6578
sfc	Spirochaeta africana
sbu	Sphaerochaeta globosa
scc	Sphaerochaeta coccoides
sgp	Sphaerochaeta pleomorpha
slr	Salinispira pacifica
lil	Leptospira interrogans serovar Lai 56601
lie	Leptospira interrogans serovar Lai IPAV
lic	Leptospira interrogans serovar Copenhageni
lis	Leptospira interrogans serovar Linhai
lbj	Leptospira borgpetersenii JB197
lbl	Leptospira borgpetersenii L550
lbi	Leptospira biflexa serovar Patoc Patoc 1 (Paris)
